@relation 'train1_data-weka.filters.unsupervised.attribute.Remove-R1-2,13-weka.filters.unsupervised.attribute.Remove-R1,5-6-weka.filters.unsupervised.attribute.Remove-R4,6'

@attribute Year numeric
@attribute Kilometers_Driven numeric
@attribute Fuel_Type {CNG,Diesel,Petrol,LPG,Electric}
@attribute Engine {'998 CC','1582 CC','1199 CC','1248 CC','1968 CC','814 CC','1461 CC','2755 CC','1598 CC','1462 CC','1497 CC','2179 CC','2477 CC','1498 CC','2143 CC','1995 CC','1984 CC','1197 CC','2494 CC','1798 CC','2696 CC','2698 CC','1061 CC','1198 CC','2987 CC','796 CC','624 CC','1999 CC','1991 CC','2694 CC','1120 CC','2498 CC','799 CC','2393 CC','1399 CC','1796 CC','2148 CC','1396 CC','1950 CC','4806 CC','1998 CC','1086 CC','1193 CC','2982 CC','1493 CC','2967 CC','2993 CC','1196 CC','1799 CC','2497 CC','2354 CC','1373 CC','2996 CC','1591 CC','2894 CC','5461 CC','1595 CC','936 CC','1997 CC',0,'1896 CC','1390 CC','1364 CC','2199 CC','993 CC','999 CC','1405 CC','2956 CC','1794 CC','995 CC','2496 CC','1599 CC','2400 CC','1495 CC','2523 CC','793 CC','4134 CC','1596 CC','1395 CC','2953 CC','1586 CC','2362 CC','1496 CC','1368 CC','1298 CC','1956 CC','1299 CC','3498 CC','2835 CC','1150 CC','3198 CC','1343 CC','1499 CC','1186 CC','1590 CC','2609 CC','2499 CC','2446 CC','1978 CC','2360 CC','3436 CC','2198 CC','4367 CC','2706 CC','1422 CC','2979 CC','1969 CC','1489 CC','2489 CC','1242 CC','1388 CC','1172 CC','2495 CC','1194 CC','3200 CC','1781 CC','1341 CC','2773 CC','3597 CC','1985 CC','2147 CC','1047 CC','2999 CC','2995 CC','2997 CC','1948 CC','2359 CC','4395 CC','2349 CC','2720 CC','1468 CC','3197 CC','2487 CC','1597 CC','2771 CC','72 CC','4951 CC','970 CC','2925 CC','2200 CC','5000 CC','2149 CC','5998 CC','2092 CC','5204 CC','2112 CC','1797 CC'}
@attribute Seats numeric
@attribute Price numeric

@data
2016,10000,Petrol,'998 CC',5,3.5
2016,49389,Petrol,'1198 CC',5,4.26
2016,12000,Petrol,'998 CC',5,4.25
2010,65000,Petrol,'1796 CC',5,11.75
2013,177000,Diesel,'1498 CC',5,3.5
2015,89000,Petrol,'1591 CC',5,7.5
2009,72000,Petrol,'1396 CC',5,3.25
2012,49000,Petrol,'1298 CC',5,4.9
2014,51355,Diesel,'2143 CC',5,27
2017,13460,Petrol,'1197 CC',5,8.91
2014,35642,Petrol,'1591 CC',5,6.69
2014,52895,Diesel,'1998 CC',5,6.02
2010,93000,Petrol,'1798 CC',5,4.5
2011,70000,Petrol,'998 CC',5,2
2012,32048,Diesel,'1461 CC',5,2.4
2013,4700,Petrol,'624 CC',4,1.2
2014,71800,Diesel,'1248 CC',5,2.9
2008,69078,Petrol,0,0,40.88
2016,45000,Diesel,'1968 CC',5,27
2016,15388,Diesel,'1498 CC',5,7.5
2004,98798,Petrol,'1599 CC',5,1.5
2016,43000,Diesel,'1968 CC',5,39.5
2012,85112,Diesel,'1248 CC',5,3.39
2018,37804,Diesel,'2179 CC',7,12.4
2014,45000,Diesel,'1248 CC',5,6.85
2011,116000,Diesel,'1364 CC',5,5.75
2015,100073,Diesel,'1396 CC',5,2
2006,165000,Petrol,'796 CC',4,0.9
2015,22000,Petrol,'1198 CC',5,3.8
2017,9500,Petrol,'1999 CC',5,16.35
2012,152000,Diesel,'2982 CC',7,16.5
2019,17705,Petrol,'1197 CC',5,8.7
2016,12000,Petrol,'1197 CC',5,6.1
2013,51000,Diesel,'1998 CC',5,21.94
2009,42000,Diesel,'2987 CC',5,22
2015,51000,Petrol,'998 CC',5,2.65
2017,42527,Petrol,'1197 CC',5,5.27
2014,45000,Diesel,'1248 CC',5,2.48
2011,70000,Diesel,'2494 CC',8,6
2009,92000,Diesel,'2982 CC',7,8.9
2012,57156,Diesel,'1995 CC',5,18
2016,53211,Petrol,'1395 CC',5,11.64
2019,80000,Diesel,'2982 CC',7,8.99
2009,74000,Diesel,'1896 CC',5,5.25
2011,37000,Diesel,'1396 CC',5,2.95
2013,64000,Diesel,'1248 CC',5,2.65
2013,57197,Petrol,'1598 CC',5,4
2016,55000,Diesel,'1582 CC',5,12.5
2014,33000,Petrol,'1197 CC',5,3.25
2008,70000,Petrol,'1997 CC',5,4
2012,75000,Diesel,'2179 CC',7,6.25
2016,58095,Diesel,'1498 CC',5,5.8
2015,7445,Petrol,'1193 CC',5,5
2016,17652,Diesel,'2993 CC',5,58.73
2018,28321,Petrol,'1798 CC',5,17.49
2011,69000,Petrol,'998 CC',5,1.95
2007,80000,Petrol,'2354 CC',5,3
2014,42365,Petrol,'1197 CC',5,5.5
2013,123000,Diesel,'2982 CC',7,16.5
2011,40000,Petrol,'1796 CC',5,14.5
2016,30112,Diesel,'1248 CC',5,7.79
2017,43775,Diesel,'1248 CC',7,8.27
2019,26013,Diesel,'2993 CC',5,97.07
2012,56000,Petrol,'1598 CC',5,2.15
2008,95000,Petrol,'1799 CC',5,3
2014,41089,Diesel,'1995 CC',5,28.79
2011,41988,Diesel,'1968 CC',5,5.45
2013,72486,Diesel,'1248 CC',5,3.95
2013,92000,Diesel,'1984 CC',5,16
2013,40000,Petrol,'1298 CC',5,4.25
2014,56000,Diesel,'2179 CC',5,34.5
2008,125000,Petrol,'2354 CC',5,2.6
2017,29219,Diesel,'2494 CC',8,13.48
2018,39927,Diesel,'2982 CC',7,32.1
2018,38593,Petrol,'1199 CC',5,6.17
2015,32000,Petrol,'1497 CC',5,5.5
2017,28226,Diesel,'1248 CC',5,9.15
2014,95000,Diesel,'1461 CC',5,4.5
2014,194000,Diesel,'2494 CC',8,10.5
2016,14821,Petrol,'1198 CC',5,5.37
2012,52000,Petrol,'1598 CC',5,5.45
2016,33000,Diesel,'2179 CC',7,9.25
2016,29200,Diesel,'1498 CC',5,7.7
2012,99754,Diesel,'1968 CC',5,7.99
2012,49000,Petrol,'1197 CC',5,3
2005,299322,Diesel,'2494 CC',8,4
2018,38310,Diesel,'1248 CC',5,6.69
2014,56000,Diesel,'1248 CC',5,4.25
2017,31300,Diesel,'1498 CC',5,10.5
2019,11241,Diesel,'2393 CC',8,22.55
2014,48000,Petrol,'1591 CC',5,5.2
2019,23882,Petrol,'1497 CC',5,11.87
2014,65000,Diesel,'1498 CC',5,6.99
2011,50000,Diesel,'1598 CC',5,5
2014,25000,Diesel,'2967 CC',5,44
2015,21000,Petrol,'796 CC',5,2.79
2012,148000,Diesel,'1248 CC',5,2.9
2016,68000,Petrol,'1591 CC',5,9.85
2014,52000,Diesel,'2987 CC',7,49
2016,19000,Diesel,'2498 CC',6,9.25
2011,74000,Diesel,'1582 CC',5,3.75
2017,30279,Diesel,'1498 CC',5,7.29
2016,20000,Diesel,'1496 CC',4,23.5
2013,34834,Petrol,'796 CC',5,2.6
2015,90000,Diesel,'1461 CC',5,3.1
2016,38730,Diesel,'2143 CC',5,29.98
2016,57390,Diesel,'1461 CC',5,6.73
2016,100000,Diesel,'1248 CC',5,3.5
2011,50000,Petrol,'1198 CC',5,2.35
2017,64961,Diesel,'2179 CC',7,16.13
2014,72465,Petrol,'1198 CC',5,5.9
2012,68776,Petrol,'1197 CC',5,3.9
2005,150000,Petrol,'1598 CC',5,1.5
2012,68000,Diesel,'2494 CC',7,6.95
2015,33000,Diesel,'1498 CC',5,7
2017,22389,Petrol,'1198 CC',5,7.23
2012,90000,Diesel,'1248 CC',5,3.81
2012,42000,Petrol,'1197 CC',5,4.5
2017,38767,Diesel,'1582 CC',5,12.6
2015,21000,Diesel,'2967 CC',7,48
2010,59136,Petrol,'796 CC',5,2.96
2014,36000,Diesel,'1498 CC',5,3.25
2011,95000,Diesel,'1968 CC',5,8.5
2013,51000,Diesel,'1582 CC',5,8.75
2011,36411,Petrol,'998 CC',5,3.08
2017,40000,Diesel,'1999 CC',7,41.5
2016,27300,Petrol,'1497 CC',5,7
2011,29813,Petrol,'1991 CC',5,11.5
2011,71000,Petrol,'998 CC',5,2.6
2014,32000,Diesel,'1582 CC',5,4.3
2017,19234,CNG,'1373 CC',7,8.35
2017,50510,Diesel,'1968 CC',5,24.9
2011,102000,Diesel,'1995 CC',5,13.75
2014,42277,Diesel,'1186 CC',5,3.85
2014,46000,Diesel,'2143 CC',5,23.25
2012,35000,Diesel,'2523 CC',7,7
2015,50000,Petrol,'1197 CC',5,5.75
2008,62000,Petrol,'1197 CC',5,1.65
2012,78000,Diesel,'1968 CC',5,6.5
2011,79000,Diesel,'1968 CC',5,7.5
2019,6773,Diesel,'2967 CC',7,72.94
2010,135000,Diesel,'2982 CC',7,11
2013,36716,Petrol,'1061 CC',5,3.02
2013,65060,Petrol,'814 CC',5,3.32
2013,33000,Petrol,'1198 CC',5,3.24
2015,11110,Petrol,'796 CC',5,2.35
2013,63000,Diesel,'2523 CC',7,5.5
2015,27030,Petrol,'1497 CC',5,6.75
2015,19600,Petrol,'1598 CC',5,6.15
2016,27755,Petrol,'1197 CC',5,5.45
2013,20000,Petrol,'814 CC',5,2.3
2015,24782,Petrol,'1197 CC',5,6.21
2014,47303,Petrol,'1198 CC',5,5.21
2008,71000,Petrol,'4134 CC',7,11.99
2010,135000,Diesel,'1248 CC',5,3.1
2017,1000,Diesel,'2179 CC',5,7.5
2016,29000,Diesel,'1498 CC',5,4
2016,36367,Petrol,'1497 CC',5,7.73
2015,38000,Petrol,'1497 CC',5,7.8
2011,83969,Petrol,'796 CC',4,1.3
2014,82621,Diesel,'1498 CC',5,4.42
2009,89000,Diesel,'1991 CC',7,4
2016,54000,Diesel,'2179 CC',7,13
2015,61691,Diesel,'1498 CC',5,5.38
2011,32200,Petrol,'1197 CC',5,3.25
2016,68630,Petrol,'998 CC',5,3.87
2014,61000,Diesel,'1968 CC',5,8.25
2018,32644,Petrol,'1373 CC',5,9.28
2012,85000,Diesel,'2179 CC',7,6.25
2008,75000,Petrol,'1150 CC',5,1.15
2016,40347,Petrol,'1373 CC',5,7.8
2012,60788,Diesel,'1396 CC',5,4.5
2018,18664,Petrol,'1199 CC',5,7.56
2017,57847,Diesel,'2179 CC',7,16.08
2012,52237,Petrol,'1197 CC',5,4.5
2012,128000,Diesel,'1582 CC',5,5
2011,54000,Petrol,'1086 CC',5,2.2
2014,49800,Petrol,'998 CC',5,4
2012,98000,Diesel,'1199 CC',5,2.51
2015,60095,Diesel,'1248 CC',5,4.75
2008,68000,Petrol,'1086 CC',5,2
2010,81402,Petrol,'1197 CC',5,2.1
2013,38000,Petrol,'1499 CC',5,6.25
2011,92239,Diesel,'2987 CC',5,10.6
2017,49224,Diesel,'1248 CC',5,6
2004,12000,Petrol,'796 CC',4,0.45
2010,54898,Petrol,'1298 CC',5,2.5
2018,2500,Petrol,'1591 CC',5,12.75
2017,32838,Diesel,'1995 CC',5,30.29
2006,27076,Petrol,'1299 CC',5,1.6
2017,75445,Diesel,'1498 CC',5,7.54
2015,46601,Petrol,'1373 CC',5,6.84
2012,72000,Diesel,'1968 CC',5,6
2017,27000,Diesel,'1498 CC',5,8
2016,68193,Diesel,'1968 CC',5,24.74
2017,34429,Diesel,'1120 CC',5,5.5
2013,46000,Diesel,'2987 CC',7,36
2013,80544,Diesel,'2494 CC',7,11.79
2011,42000,Petrol,'1498 CC',5,3
2011,94821,Diesel,'1968 CC',5,6.75
2006,100000,Petrol,'1399 CC',5,1.4
2014,57000,Diesel,'1498 CC',7,5.75
2010,79894,Diesel,'1248 CC',5,3.4
2011,44748,Petrol,'1198 CC',5,4.89
2013,31000,Petrol,'1598 CC',5,4.95
2013,60587,Petrol,'998 CC',5,3.49
2011,32000,Diesel,'1364 CC',5,3.85
2014,43772,Petrol,'1497 CC',5,6.35
2017,23576,Petrol,'1197 CC',5,7.08
2017,4000,Diesel,'1999 CC',5,38
2012,62000,Diesel,'2179 CC',8,6.25
2011,36000,Petrol,'1796 CC',5,10.15
2014,80000,Petrol,'1798 CC',5,10.75
2012,137008,Diesel,'1991 CC',4,4.65
2010,61001,Diesel,'2179 CC',8,4.75
2015,52191,Petrol,'1591 CC',5,7.78
2016,77076,Diesel,'1396 CC',5,6.75
2008,56000,Petrol,'1497 CC',5,2.99
2013,21000,Petrol,'1197 CC',5,2.35
2013,89429,Diesel,'1498 CC',5,3.65
2012,45631,Petrol,'998 CC',5,2.74
2013,53959,Petrol,'1198 CC',5,3.5
2014,55804,Petrol,'1197 CC',5,4.76
2016,25899,Petrol,'1598 CC',5,6.2
2008,82000,Diesel,'1896 CC',5,2.35
2014,52000,Diesel,'2143 CC',5,24.5
2013,20000,Petrol,'1598 CC',5,6
2017,31829,Petrol,'814 CC',5,3.65
2016,18094,Petrol,'1197 CC',5,6.26
2011,80000,Diesel,'1461 CC',5,2.1
2015,11964,Diesel,'2967 CC',5,32.95
2018,22684,Petrol,'1197 CC',5,7.8
2014,43521,Petrol,'1198 CC',5,4.25
2014,49386,Petrol,'1298 CC',5,4.86
2017,12248,Petrol,'1197 CC',5,4.9
2014,67771,Diesel,'2498 CC',8,7.06
2015,60007,Petrol,'1798 CC',4,4.5
2011,48624,Petrol,'998 CC',5,3.22
2014,30000,Diesel,'1199 CC',5,3.25
2016,81605,Petrol,'1197 CC',5,4.53
2017,32642,Diesel,'2143 CC',5,34.78
2014,34200,Petrol,'1591 CC',5,6.5
2010,72204,Petrol,'1172 CC',5,2.25
2011,156347,Diesel,'2494 CC',8,8
2017,47357,Diesel,'1493 CC',7,8.37
2015,61738,Diesel,'1498 CC',5,5.39
2018,32586,Diesel,'1995 CC',5,37.3
2018,40129,Diesel,'2987 CC',5,70.8
2012,51000,Diesel,'2987 CC',5,22.25
2018,10393,Petrol,'1197 CC',5,6.03
2011,46000,Petrol,'1798 CC',5,4.9
2013,21000,Petrol,'1197 CC',5,3.96
2011,113562,Diesel,'1396 CC',5,4.6
2011,100010,Diesel,'2179 CC',8,5.5
2013,63107,Petrol,'1198 CC',5,3.25
2017,58500,Petrol,'1197 CC',5,6.25
2007,90000,Diesel,'2499 CC',7,3
2011,108242,Diesel,'1493 CC',5,4.25
2011,146300,Diesel,'2982 CC',7,12.25
2011,62943,Diesel,'1995 CC',5,10.95
2013,65000,Diesel,'2982 CC',7,16.5
2018,1700,Petrol,'1199 CC',5,7.8
2013,34697,Petrol,'1086 CC',5,3.7
2012,58000,Petrol,'1197 CC',5,4
2015,32500,Diesel,'1995 CC',5,26.75
2016,58661,Diesel,'1968 CC',5,28.03
2017,37124,Petrol,'1197 CC',5,5.44
2017,44000,Petrol,'1197 CC',5,6.2
2005,45200,Petrol,'1495 CC',5,0.9
2016,11000,Petrol,'1197 CC',5,3.95
2011,65000,Petrol,'624 CC',4,0.44
2012,55005,Diesel,'1399 CC',5,2.75
2011,81650,Diesel,'1968 CC',5,7.5
2010,160000,Diesel,'1248 CC',5,2.5
2015,169000,Diesel,'2489 CC',7,5
2013,67263,Petrol,'998 CC',5,3.6
2012,44223,Petrol,'1496 CC',5,3.99
2015,36840,Petrol,'1197 CC',5,5.64
2014,160000,Diesel,'2494 CC',8,12
2008,133000,Diesel,'1405 CC',5,0.7
2015,69123,Diesel,'1995 CC',5,19
2017,38000,Diesel,'3198 CC',7,30.48
2017,5500,Petrol,'1462 CC',5,8.2
2015,1001,Diesel,'1498 CC',5,7.55
2007,59000,Petrol,'1150 CC',5,0.99
2011,78256,Petrol,'1497 CC',5,4.15
2016,90000,Petrol,'1498 CC',5,6.2
2016,18000,Petrol,'1197 CC',5,4.4
2012,60000,Diesel,'1399 CC',5,2.1
2011,130000,Diesel,'1248 CC',5,2.2
2018,32851,Petrol,'1197 CC',5,8.34
2014,32000,Diesel,'1248 CC',5,4.35
2014,62700,Diesel,'1498 CC',5,6.8
2010,71000,Diesel,'1248 CC',5,3.3
2016,19947,Petrol,'1197 CC',5,5.04
2012,91000,Diesel,'2953 CC',7,9.2
2014,74000,Diesel,'1199 CC',5,5.7
2018,55594,Diesel,'1493 CC',7,8.48
2013,58000,Diesel,'2993 CC',4,48
2012,110224,Diesel,'1461 CC',5,6.1
2010,21002,Petrol,'998 CC',5,2.75
2017,121000,Diesel,'1248 CC',7,8
2010,73513,Petrol,'796 CC',5,1.85
2015,34000,Petrol,'998 CC',5,3.85
2017,28371,Petrol,'1196 CC',7,4.74
2013,74755,Diesel,'1461 CC',5,5.63
2011,25805,Petrol,'1061 CC',5,2.62
2015,82603,Petrol,'1598 CC',5,4.9
2006,110000,Petrol,'1799 CC',5,2.65
2012,88000,Diesel,'2179 CC',7,5.99
2011,110000,Diesel,'1461 CC',5,2.4
2017,15000,Petrol,'999 CC',5,4.25
2013,70000,Diesel,'2967 CC',5,40
2008,150000,Diesel,'1248 CC',5,2.7
2016,19000,Petrol,'1198 CC',5,2.99
2011,37442,Petrol,'1197 CC',5,3.4
2016,63111,Diesel,'1995 CC',5,30.8
2012,88000,Diesel,'1248 CC',7,5.85
2014,42355,Petrol,'1197 CC',5,4
2011,75871,Petrol,'2996 CC',5,14.12
2011,65000,Diesel,'1998 CC',5,4.55
2015,69000,Diesel,'2987 CC',5,38
2011,79232,Diesel,'1248 CC',5,2.9
2007,220000,Petrol,'1796 CC',5,6
2016,28470,Petrol,'1197 CC',5,6.95
2014,9759,Petrol,'998 CC',5,2.75
2014,75216,Diesel,'1248 CC',5,5.1
2017,8000,Petrol,'1197 CC',5,6.75
2014,59451,Petrol,'1197 CC',5,3.69
2013,53996,Diesel,'1248 CC',5,5.45
2018,15135,Petrol,'1199 CC',5,9.29
2015,53000,Petrol,'1197 CC',5,4
2013,40000,Petrol,'1198 CC',5,2.9
2013,21107,Petrol,'1591 CC',5,5.25
2014,56000,Petrol,'1497 CC',5,5.75
2017,19623,Petrol,'1591 CC',5,13.12
2014,70963,Diesel,'2179 CC',7,7.83
2013,25755,CNG,'998 CC',5,3.15
2013,51450,Diesel,'2494 CC',7,10.4
2012,75000,Diesel,'1248 CC',5,4.35
2017,37832,Petrol,'998 CC',5,5.23
2016,43041,Petrol,'1197 CC',5,6.01
2014,97236,Diesel,'1498 CC',5,4.4
2010,83000,Diesel,'1995 CC',5,12.75
2011,65000,Petrol,'1196 CC',5,2.4
2018,46007,Petrol,'1198 CC',5,5.71
2015,65925,Diesel,'1498 CC',5,5.49
2004,73500,Petrol,'1343 CC',5,1.3
2014,55000,Diesel,'2179 CC',7,8.5
2012,115000,Diesel,'2982 CC',7,12.99
2017,31184,Petrol,'1197 CC',5,5
2017,41747,Diesel,'1248 CC',5,9
2016,38143,Diesel,'1248 CC',5,5.22
2012,19030,Petrol,'1198 CC',5,3.8
2019,20877,Petrol,'1197 CC',5,7.27
2016,23555,Petrol,'1197 CC',5,5.1
2013,29000,Diesel,'2143 CC',5,29
2013,61000,Petrol,'998 CC',5,2.9
2012,4187,Petrol,'624 CC',4,1.38
2011,46000,Petrol,'1798 CC',5,5.5
2016,28000,Petrol,'1197 CC',5,7.25
2014,83558,Diesel,'1582 CC',5,6.98
2017,40000,Diesel,'1248 CC',5,5.25
2013,36000,Petrol,'814 CC',5,1.95
2014,21000,Diesel,'1968 CC',5,24.5
2013,62162,Diesel,'2494 CC',7,8.31
2012,83000,Diesel,'2987 CC',5,36
2015,58000,Diesel,'1120 CC',5,5.5
2011,62332,Petrol,'2354 CC',5,5.89
2016,50867,Diesel,'1498 CC',5,7.95
2010,73000,Petrol,'1197 CC',5,2.75
2012,98008,Diesel,'1582 CC',5,6.25
2015,36000,Diesel,'1399 CC',5,4.95
2019,27339,Petrol,'1197 CC',5,6.27
2017,25000,Diesel,'1582 CC',5,8.65
2014,37000,Petrol,'1197 CC',5,3.5
2015,56000,Diesel,'1968 CC',5,35
2015,27000,Petrol,'1298 CC',5,4.45
2012,37000,Petrol,'1197 CC',5,2.65
2017,10500,Diesel,'1198 CC',5,4.7
2014,49000,Diesel,'1582 CC',5,8.9
2017,7000,Diesel,'1956 CC',5,17.45
2017,71256,Diesel,'1248 CC',5,9.58
2012,83184,Petrol,'1798 CC',5,6.22
2013,87284,Diesel,'2179 CC',7,7.8
2016,7000,Diesel,'1995 CC',5,27.75
2015,29000,Diesel,'1396 CC',5,7
2017,33552,Diesel,'2987 CC',5,64.87
2013,64000,Diesel,'1998 CC',5,6.5
2011,82000,Petrol,'1197 CC',5,2.7
2012,70000,Petrol,'1198 CC',5,2.5
2013,166194,Diesel,'1461 CC',7,3.9
2015,58000,Petrol,'1198 CC',5,3.95
2010,77000,Petrol,'1197 CC',5,2.1
2009,73204,Diesel,'1991 CC',4,3.5
2007,70000,Petrol,'1086 CC',5,2
2014,79870,Diesel,'1248 CC',7,5.35
2013,90000,Diesel,'1498 CC',5,3.8
2016,17000,Petrol,'1595 CC',5,17.25
2018,46493,Petrol,'1197 CC',5,5.53
2009,68000,Petrol,'1197 CC',5,1.95
2017,2000,Diesel,'1248 CC',5,8.2
1999,140000,Petrol,'1343 CC',5,0.9
2013,255000,Diesel,'2494 CC',7,6.5
2014,45535,Diesel,'1998 CC',5,19.41
2016,39228,Petrol,'1368 CC',5,6.58
2011,57000,Petrol,'1399 CC',5,2.1
2008,85445,Petrol,'1086 CC',5,2
2015,54000,Diesel,'1120 CC',5,3.7
2014,53000,Petrol,'998 CC',5,3.8
2014,60000,Petrol,'1197 CC',5,3.25
2015,65668,Diesel,'1461 CC',5,5.53
2011,100000,Diesel,'1995 CC',5,10.9
2018,1800,Petrol,'1197 CC',5,5.1
2007,96000,Petrol,'999 CC',5,2.2
2009,44200,Petrol,'995 CC',5,1.6
2018,14000,Petrol,'1497 CC',5,11.25
2013,720000,Diesel,'1598 CC',5,5.9
2012,73000,Diesel,'2982 CC',7,14.4
2011,68000,Petrol,'1497 CC',5,3.6
2017,19543,Diesel,'1995 CC',5,40.5
2014,38000,Diesel,'1968 CC',5,38.95
2014,32805,Diesel,'1248 CC',5,3.6
2016,44782,Diesel,'1498 CC',5,7.12
2016,55700,Diesel,'1498 CC',5,7.52
2012,60000,Diesel,'1968 CC',5,10.35
2014,56000,Petrol,'1598 CC',5,7
2011,60000,Diesel,'2982 CC',7,10.85
2010,78563,Diesel,'1991 CC',5,2.35
2014,34669,Petrol,'1196 CC',7,2.9
2017,17000,Petrol,'1373 CC',5,7.65
2016,66000,Diesel,'1248 CC',5,6.4
2014,102418,Diesel,'2494 CC',7,10.1
2014,48800,Petrol,'1197 CC',5,4.25
2019,10601,Diesel,'2755 CC',7,19.65
2017,8200,Diesel,'1396 CC',5,4.4
2012,100000,Petrol,'1197 CC',5,3.25
2012,78000,Diesel,'1399 CC',5,2.8
2015,50000,Diesel,'1248 CC',8,4.3
2006,89327,Diesel,'1399 CC',5,1.55
2007,98000,Petrol,'2354 CC',5,4.7
2017,24700,Petrol,'1199 CC',5,7.07
2018,6000,Diesel,'2987 CC',7,79
2018,9434,Petrol,'1197 CC',5,5.75
2012,29000,Petrol,'1197 CC',5,3.25
2017,22440,Diesel,'1498 CC',5,8.89
2015,73070,Petrol,'1497 CC',5,5.9
2016,21771,Petrol,'1199 CC',5,4.95
2014,62000,Diesel,'1248 CC',5,3.75
2017,37024,Diesel,'1582 CC',5,10.97
2014,60336,Diesel,'2967 CC',5,24.94
2014,26008,Petrol,'814 CC',5,1.97
2010,90000,Diesel,'1399 CC',5,1.4
2018,35569,Petrol,'1198 CC',5,7.27
2013,40000,Diesel,'1461 CC',5,4
2015,45000,Petrol,'1199 CC',5,4.75
2015,42000,Petrol,'1197 CC',5,5.1
2012,46913,Diesel,'2967 CC',5,16.11
2014,62000,Diesel,'2696 CC',7,10.55
2017,15000,Diesel,'2755 CC',7,30
2002,69000,Diesel,'1896 CC',5,1.6
2012,41367,Diesel,'2148 CC',5,18.49
2018,15982,Petrol,'1373 CC',5,9.96
2013,99595,Diesel,'1248 CC',5,4.75
2002,63000,Diesel,'2446 CC',10,3.65
2012,49000,Diesel,'2495 CC',5,15.5
2013,48272,Diesel,'2835 CC',6,11.82
2008,63000,Petrol,'1794 CC',5,2.05
2016,77000,CNG,'998 CC',5,3.3
2013,11734,Petrol,'796 CC',8,2.25
2014,62012,Diesel,'1968 CC',5,20.12
2017,46000,CNG,'1197 CC',5,4.95
2016,45449,Diesel,'1498 CC',5,7.48
2004,85000,Petrol,'1796 CC',5,5.5
2005,88000,Petrol,'1493 CC',0,1.7
2013,45330,Diesel,'1968 CC',5,13.19
2012,88000,Petrol,'1197 CC',5,3.85
2016,45376,Diesel,'1248 CC',5,5.75
2014,81000,Diesel,'2179 CC',7,9
2012,83381,Petrol,'1199 CC',5,2.21
2017,78526,Diesel,'1498 CC',5,8.09
2017,27313,Diesel,'2993 CC',5,48.63
2015,42747,Diesel,'1968 CC',5,39.47
2015,42265,Diesel,'1995 CC',5,22.24
2009,21000,Petrol,'1197 CC',5,2.6
2016,55100,Diesel,'1582 CC',5,12
2014,70000,Diesel,'1968 CC',5,18
2007,55000,Petrol,'3498 CC',5,9.99
2012,58235,Petrol,'1197 CC',5,2.45
2017,26000,Diesel,'1498 CC',5,8.99
2011,35000,Diesel,'1598 CC',5,3.15
2017,24000,Diesel,'1248 CC',5,8.2
2016,98000,Diesel,'1997 CC',7,11.5
2016,44487,Diesel,'1396 CC',5,7.3
2008,65000,Petrol,'796 CC',5,1.59
2015,34951,Petrol,'1197 CC',5,3.15
2015,52373,Diesel,'2179 CC',7,8.5
2010,66285,Diesel,'1199 CC',5,3
2012,66000,Diesel,'2993 CC',5,21
2016,43000,Diesel,'1498 CC',5,7.75
2013,45200,Diesel,'2148 CC',5,23
2016,41000,Diesel,'2179 CC',7,13.75
2017,39430,Petrol,'1497 CC',5,8.29
2014,83274,Diesel,'1248 CC',5,5.79
2017,32324,Diesel,'2143 CC',5,30.5
2011,49999,Petrol,'1497 CC',5,3.8
2014,66000,Diesel,'2956 CC',7,4.45
2012,54000,Petrol,'1197 CC',5,3.3
2009,80000,Diesel,'1248 CC',5,1.75
2011,72000,Petrol,'1799 CC',5,5.5
2017,44865,Diesel,'1582 CC',5,13.35
2017,22000,Diesel,'1968 CC',5,22.5
2013,57478,Petrol,'1591 CC',5,5.25
2011,75000,Diesel,'1396 CC',5,3.75
2015,50624,Diesel,'1498 CC',7,6.32
2018,75000,Diesel,'1582 CC',5,7.75
2006,87000,Petrol,'1596 CC',5,1.37
2010,62000,Petrol,'1197 CC',5,2.1
2016,41372,Diesel,'1248 CC',5,9.3
2015,70000,Diesel,'2494 CC',7,12
2017,35000,Diesel,'2143 CC',5,23.5
2006,71993,Petrol,'796 CC',5,1.8
2013,62000,Diesel,'2143 CC',5,12.5
2015,51000,Diesel,'1248 CC',5,4.74
2016,26038,Petrol,'1197 CC',5,5.43
2018,37713,Diesel,'2982 CC',7,31.62
2011,78088,Petrol,'1998 CC',8,6.3
2017,30453,Diesel,'1498 CC',5,8.45
2016,54000,Petrol,'1196 CC',5,5
2011,190000,Diesel,'2982 CC',7,13
2012,65097,Petrol,'1197 CC',5,4.7
2018,28060,Petrol,'2979 CC',5,93.67
2012,282000,Petrol,'1798 CC',5,3.3
2009,111000,Petrol,'1061 CC',5,1.51
2013,63295,Diesel,'1461 CC',5,6.09
2015,35770,Petrol,'1373 CC',5,5.95
2012,125928,Diesel,'1582 CC',5,9
2015,45000,Diesel,'1498 CC',5,4.25
2013,21000,Diesel,'2143 CC',5,23.5
2011,54774,Petrol,'2354 CC',5,6.35
2014,41123,Petrol,'998 CC',5,3.4
2017,17465,Petrol,'2979 CC',5,93
2014,48000,Diesel,'1995 CC',5,21.6
2011,173000,Diesel,'1598 CC',5,4
2018,12000,Diesel,'1248 CC',5,5.5
2012,34000,Diesel,'2179 CC',5,19.25
2012,71360,Diesel,'1396 CC',5,3.95
